,Python Core - тривалість 2 місяці = 2 заняття. ,,,,
Номер,Тема,Основіні питання,Конкретні питання,Що мають засвоїти студенти,Презентації
1,Модуль 2. Контроль потоку та функції,Git / GitHub (Процесс здачі ДЗ),Як створити репозиторій на гітхабі?,"- розуміти порядок виконання операцій у виразі
- розрізняти типи даних
- розуміти концепцію вбудованої функції у Python
- створювати змінні різних типів, присвоювати їм імена та задавати значення
- створювати змінні різних типів, присвоювати їм імена та задавати значення
- вміти працювати з числами, рядками та типом None,
- використовувати різні типи даних та вбудовані функції.
- виконувати базові операції над рядками
- вміти формувати вирази для обчислення",https://docs.google.com/presentation/d/1vrv7dDoQn28VFKiv3cSyzSgdxndt0OZQ/edit?usp=sharing&ouid=109008746935150839856&rtpof=true&sd=true
,,,Як склонувати репозиторій собі на ПК?,,
,,,Як створити та додати файли до комміту?,,
,,,Як зробити комміт?,,
,,,Як залити свій код на репозиторій?,,
,,,Як отримати архів?,,
,,VSCode,Як відкрити папку в VSCode?,,
,,,Які розширення потрібні для навчання? (Python + Pylance),,
,,Основи пайтона,Як отримувати введення через input та виводити через print?,,
,,,Як написати функцію та викликати її в свому коді?,,
,,,Написати просту функцію для пошуку літери у тексті через for,,
,,,Написати просту функцію для пошуку літери у тексті через методи рядків,,
,,,Показати в документаціїї методи рядків,,
,,,Як запустити дебаг в VSCode та подивитись як змінюються значення в попередній функції,,
,,,"Написатти функції для виведення тексту з великої літери, у верхньому регістрі та у нижньому регістрі",,
,,,Написати функцію яка буде рахувати площину трикутника,,
2,Модуль 4. Робота з файлами та модульна система,Модуль datetime,Як працюють strptime та strftime?,"- знати як працювати з датами за допомогою модулю datetime
- знати як використовувати метод `weekday()`
- знати як створювати клас `timedelta`
- знати як працювати з `timestamp`
- знати як використовується метод `strftime`
- знати принципи роботи з випадковими величинами
- знати як працювати з пакетом `math`
- знати способи порівняння чисел у Python
- вміти працювати з регулярними виразами в Python, використовуючи функції search, findall, sub
- виконувати різноманітні операції з рядками (видалення символів, пошук ключових слів в тексті, тощо)
- використовувати регулярні вирази для вирішення практичних задач
- розуміти концепцію файлових дескрипторів в Python
- вміти читати текстові файли
- знати що таке пакети та модулі
- створювати власні пакети і встановлювати їх
- вміти створювати віртуальне оточення
- передавати і обробляти параметри при виклику",https://docs.google.com/presentation/d/1_8KFQ1-TYcQXLVxwDBqTeE6GqMl5zftK/edit?usp=sharing&ouid=109008746935150839856&rtpof=true&sd=true
,,,Як дістати timedelta з двох datetime?,,
,,,"Написати функцію, яка посортує дати по днях тижня",,
,,Модуль math,Порахувати площу кола,,
,,Загальний пайтон,Передати параметри для вираховування площі кола через командний рядок,,
,,,"Як працює (a, b) < (c, d)?",,
,,random,Написати функцію для генерування випадкового пароля,,
,,regexp,В чому різниця між findall та search?,,
,,,"Написати функцію, яка буде знаходити усі хештеги у реченні",,
,,,"Написати функцію, яка замінить emoji на ascii-emoji [😀 -> :)] Пояснити що таке utf таблиця символів",,
,,pip та venv,Показати як створити та активувати віртуальне оточення,,
,,,Показати як відрізнити чи активоване оточення чи ні,,
,,,"Встановити colorama та показати де шукати документацію, показати приклад",,
,,Файли,"Показати як відкривати файл, зробити копію файлу",,
3,Модуль 6. Основи роботи з класами,Функціональне програмування,"Розібрати рекурсію на прикладі сумми. Показати як спочатку збільшуеться рівень, а потім виходить нагору","- забезпечувати точність в обчисленнях, пов'язаних з десятковими числами, використовуючи модуль decimal
- оптимізувати код за допомогою виразів comprehensions в Python
- створювати і застосовувати анонімні (lambda) функції
- знати ітератори та генератори (iterators/generators) в Python
- використовувати ключове слово ""yield"" для створення генераторних функцій
- знати ти вміти використовувати функції map та filter
- знати, що таке класи в Python та їх роль в ООП.
- розуміти різницю між класом та об'єктом.
- вміти створювати класи та об'єкти
- розуміти, як працюють атрибути класу, поля та методи
- розуміти, як працює конструктор класу
- розуміти, що таке успадкування та як його застосовувати
- розуміти, що таке Method Resolution Order (MRO) та як він визначає порядок спадкування",https://docs.google.com/presentation/d/16DfmEmnxtXCOPS6m14q5LJUSUPpyGkD0/edit?usp=sharing&ouid=109008746935150839856&rtpof=true&sd=true
,,,Написати функцію для підрахунку суми з Decimal та без,,
,,,"Написати функцію-генератор, яка повертає n-випадкових чисел. Використати next та for",,
,,,"Написати функцію, яка фільтрує слова довші за 3 символи за допомогою циклу for",,
,,,"Написати функцію, яка фільтрує слова довші за 3 символи за допомогою list comprehensions",,
,,,"Написати функцію, яка фільтрує слова довші за 3 символи за допомогою lambda та filter",,
,,,"Написати декоратор, який рахує час виконання функції",,
,,ООП,"Написати простий клас Person, створити обʼєкти",,
,,,"Написати простий клас Address, сворити обʼєкти",,
,,,"Змінити Person так, щоб він мав всередині обʼєкт Address, детально показати як можна з ними працювати",,
,,,"Змінити Person так, щоб він мав список з Address, детально показати як з ними працювати",,
,,,Додати до Person дату народження та написати метод для вираховування віку,,
,,,"Додати до Person метод info, який повертає рядок-інформацію про людину",,
,,,"Написати клас Employee, який наслідує Person та має salary. Додати йому свій info",,
,,,"Написати клас Child, який наслідує Person та має посилання на батька та маму. Додати йому свій info",,
,,,"Показати MRO для методів info для Child, Person та Employee",,
4,Модуль 8. Серіалізація та копіювання об'єктів в Python,ООП,"Написати клас User, додати йому поля email та password, приховати поле password за допомогою геттера","- вміти додавати та використовувати атрибути класу, поля та методи
- розуміти процес серіалізації об'єктів Python, ціль та необхідність цього процесу
- застосовувати методи серіалізації/десеріалізації об'єктів Python за допомогою бібліотеки pickle
- використовувати бібліотеку json для серіалізації/десеріалізації об'єктів Python
- вміти працювати з таблицями CSV у Python, зчитувати та записувати дані
- управляти порядком серіалізації за допомогою методів getstate та setstate у Python",https://docs.google.com/presentation/d/1dZehIEklGlOe4a_EES6sTsnNuXJibI8I/edit?usp=sharing&ouid=109008746935150839856&rtpof=true&sd=true
,,,"Додати до User сеттер для паролю, який буде його хешувати",,
,,,Показати що пароль все-одно можна дістати з User через _User__password,,
,,,"Як в пайтоні реалізувати константи, які не можна змінити? (Enum)",,
,,Серіалізація,"Додати класс Address, додати до User. серіалізувати за допомогою pickle",,
,,,За допомогою getstate записати id користувача та серіалізувати за допомогою pickle,,
,,,За допомогою setstate додати до emial id користувача та десеріалізувати за допомогою pickle,,
,,,Серіалізувати User в json,,
,,,Чи є якийсь варіант десереалізації JSON-та що повертає реальний об'єкт а не десереалізований словник?,,
,,,Створити CSV таблицю для User,,